Z75	शून्य सात पाँच
56971	पाँच छः नौ सात एक
7	सात
9O64	नौ शून्य छः चार
Z795	शून्य सात नौ पाँच
13	एक तीन
5198	पाँच एक नौ आठ
9	नौ
9	नौ
2359OO5	दो तीन पाँच नौ शून्य शून्य पाँच
5453	पाँच चार पाँच तीन
57Z	पाँच सात शून्य
33ZZ931	तीन तीन शून्य शून्य नौ तीन एक
45Z6Z47	चार पाँच शून्य छः शून्य चार सात
663282Z	छः छः तीन दो आठ दो शून्य
O78	शून्य सात आठ
56O5	पाँच छः शून्य पाँच
2	दो
8	आठ
O	शून्य
29Z83	दो नौ शून्य आठ तीन
1737	एक सात तीन सात
Z8	शून्य आठ
499O9	चार नौ नौ शून्य नौ
37454	तीन सात चार पाँच चार
13577	एक तीन पाँच सात सात
1	एक
O49O	शून्य चार नौ शून्य
ZZ2	शून्य शून्य दो
O2OO8	शून्य दो शून्य शून्य आठ
4	चार
5932	पाँच नौ तीन दो
5	पाँच
981252O	नौ आठ एक दो पाँच दो शून्य
722	सात दो दो
517	पाँच एक सात
184	एक आठ चार
3	तीन
53Z6	पाँच तीन शून्य छः
Z1Z78	शून्य एक शून्य सात आठ
4	चार
6	छः
2	दो
8371	आठ तीन सात एक
O7982	शून्य सात नौ आठ दो
5	पाँच
Z4	शून्य चार
2431687	दो चार तीन एक छः आठ सात
O	शून्य
197346O	एक नौ सात तीन चार छः शून्य
41O67	चार एक शून्य छः सात
838Z447	आठ तीन आठ शून्य चार चार सात
Z	शून्य
88O9	आठ आठ शून्य नौ
9269365	नौ दो छः नौ तीन छः पाँच
952	नौ पाँच दो
658894Z	छः पाँच आठ आठ नौ चार शून्य
212	दो एक दो
3468614	तीन चार छः आठ छः एक चार
Z	शून्य
6	छः
19O18	एक नौ शून्य एक आठ
5O2	पाँच शून्य दो
75	सात पाँच
3Z	तीन शून्य
796Z	सात नौ छः शून्य
7115	सात एक एक पाँच
O669	शून्य छः छः नौ
8551Z32	आठ पाँच पाँच एक शून्य तीन दो
OO	शून्य शून्य
ZZ6	शून्य शून्य छः
8	आठ
7	सात
6ZZZ773	छः शून्य शून्य शून्य सात सात तीन
9163O	नौ एक छः तीन शून्य
3	तीन
6438Z	छः चार तीन आठ शून्य
62353	छः दो तीन पाँच तीन
447O576	चार चार सात शून्य पाँच सात छः
7	सात
13	एक तीन
262	दो छः दो
9	नौ
9	नौ
96	नौ छः
6O	छः शून्य
4O	चार शून्य
2	दो
Z394	शून्य तीन नौ चार
8	आठ
3O5	तीन शून्य पाँच
5676	पाँच छः सात छः
O	शून्य
84Z17Z8	आठ चार शून्य एक सात शून्य आठ
285	दो आठ पाँच
33	तीन तीन
28	दो आठ
4231	चार दो तीन एक
72	सात दो
1	एक
3234	तीन दो तीन चार
4	चार
7575Z34	सात पाँच सात पाँच शून्य तीन चार
73	सात तीन
2163395	दो एक छः तीन तीन नौ पाँच
5	पाँच
186	एक आठ छः
86Z19	आठ छः शून्य एक नौ
6O152	छः शून्य एक पाँच दो
62	छः दो
3971O	तीन नौ सात एक शून्य
O8722	शून्य आठ सात दो दो
3	तीन
4	चार
6	छः
2	दो
85Z7127	आठ पाँच शून्य सात एक दो सात
43835	चार तीन आठ तीन पाँच
417	चार एक सात
468	चार छः आठ
5	पाँच
766	सात छः छः
29O8	दो नौ शून्य आठ
O	शून्य
54	पाँच चार
OO49	शून्य शून्य चार नौ
8923652	आठ नौ दो तीन छः पाँच दो
Z	शून्य
59	पाँच नौ
245	दो चार पाँच
64Z	छः चार शून्य
Z3Z4	शून्य तीन शून्य चार
Z441	शून्य चार चार एक
537	पाँच तीन सात
776479Z	सात सात छः चार सात नौ शून्य
Z	शून्य
6Z892Z9	छः शून्य आठ नौ दो शून्य नौ
6	छः
Z828	शून्य आठ दो आठ
955	नौ पाँच पाँच
225O1	दो दो पाँच शून्य एक
8O	आठ शून्य
6847ZZ5	छः आठ चार सात शून्य शून्य पाँच
91Z5	नौ एक शून्य पाँच
3Z	तीन शून्य
O7O3	शून्य सात शून्य तीन
11367	एक एक तीन छः सात
O674	शून्य छः सात चार
79	सात नौ
8OO91	आठ शून्य शून्य नौ एक
32583	तीन दो पाँच आठ तीन
Z7	शून्य सात
5997	पाँच नौ नौ सात
944O565	नौ चार चार शून्य पाँच छः पाँच
4O94277	चार शून्य नौ चार दो सात सात
8	आठ
7	सात
3	तीन
O2	शून्य दो
58	पाँच आठ
7	सात
ZZZ	शून्य शून्य शून्य
9	नौ
14828Z6	एक चार आठ दो आठ शून्य छः
9	नौ
96	नौ छः
19Z	एक नौ शून्य
21462	दो एक चार छः दो
3OO6O	तीन शून्य शून्य छः शून्य
4Z2Z	चार शून्य दो शून्य
2	दो
8	आठ
O	शून्य
1Z9	एक शून्य नौ
93785O3	नौ तीन सात आठ पाँच शून्य तीन
1	एक
8OO9	आठ शून्य शून्य नौ
